date,AED,UZS,JOD,DZD,MDL,SDG,SGD,BSD,VND,LSL,AZN,XPF,CVE,ZAR,NIO,AMD,DKK,GBP,PLN,SEK,CHF,USD,QAR,AOA,SRD,NZD,BOB,BIF,XOF,SCR,RUB,LYD,BHD,EGP,MVR,SLL,ZWL,TTD,ALL,BMD,DJF,GMD,PKR,KYD,IRR,YER,SBD,KRW,FKP,LRD,CLP,XAF,TRY,NOK,CRC,MKD,CAD,MAD,XAG,TND,KMF,CNY,NGN,NPR,BZD,JPY,TWD,MNT,SZL,ERN,TOP,IQD,TZS,JMD,MOP,UYU,NAD,STN,SOS,TMT,VUV,GYD,CUC,SVC,PHP,MXN,PYG,MMK,MUR,KGS,ANG,XDR,MGA,ETB,MWK,AUD,ISK,EUR,GHS,BRL,LAK,GTQ,GNF,INR,KPW,HKD,SYP,BAM,CUP,ARS,GEL,ILS,RSD,PGK,TJS,KWD,LKR,XCD,OMR,HNL,CZK,IDR,BTN,FJD,KHR,UGX,BGN,HUF,DOP,SHP,MYR,KES,UAH,BWP,BDT,AFN,PAB,LBP,ZMW,MRU,GIP,PEN,MZN,RON,VES,CDF,BND,RWF,THB,BYN,SAR,WST,COP,XAU,KZT
2018-01-04,4.43017432,9814.65775227,0.85527395,138.61492255,20.62353588,8.465778,1.60222897,1.20631023,27398.05957118,14.85492403,2.03919362,119.33174223,110.27,14.85492403,37.13420275,583.97179972,7.44591505,0.89100768,4.15086125,9.81991997,1.17669562,1.20631023,4.39096923,200.15023966,8.99016013,1.68862335,8.33727877,2132.68687988,655.95699998,16.90462066,68.71516785,1.63766248,0.45357265,21.36332286,18.58923991,9259.54749965,,8.14159727,133.1727673,1.20631023,215.44284312,57.41821617,133.51664977,0.98917438,43544.80236603,301.75237923,9.36932586,1281.43255922,0.89100768,151.52026736,729.96481361,655.95699998,4.52674054,9.74152595,687.51674497,61.48179685,1.5108503,11.24139593,0.07004832,2.94638321,491.96775005,7.83292392,434.83860202,122.93525307,2.41520564,136.06609717,35.72109894,2928.45142211,14.85492403,18.09465343,2.65239818,1434.89479561,2707.66823462,149.31413256,9.71396359,34.67187711,14.85492403,24.53645023,700.1793415,4.22193542,131.09678442,249.21162247,1.20631023,10.5552145,60.161323,23.22988161,6797.19629429,1638.19784007,40.16420013,83.17372456,2.15730501,0.8447662,3900.34658371,33.0222169,874.52839818,1.53572153,125.34736563,1.0,5.48997788,3.89326416,10029.50932155,8.85466519,10890.6740796,76.47605167,1085.67934789,9.43103262,621.30480338,1.95583,31.96722107,22.47846685,3.12416756,4.15778486,119.01833071,3.89761692,10.64707408,0.36360045,185.34953365,3.25703756,0.46382628,28.45289773,25.52313669,16189.27744831,76.47605167,2.45879251,4866.14467903,4398.84110937,1.95583,308.29674366,58.20840519,0.89100768,4.83043007,124.73328842,33.81128027,11.83420146,100.2414418,83.87650149,1.20631023,1818.51267017,12.23144455,42.72425259,0.89100768,3.86578472,70.70633403,4.63163819,,1913.3116459,1.60222897,1026.17104344,38.86531666,2.41668362,4.52366336,3.02870044,3482.60515675,0.00091444,400.58059945
2018-01-08,4.39678874,9744.02841952,0.84882865,137.88820523,20.46329454,8.42200131,1.59518448,1.19721953,27188.47404953,14.83608763,2.02523689,119.3317422,110.27000003,14.83608763,36.94419941,580.55763399,7.44697634,0.88256776,4.17046169,9.81682177,1.16881148,1.19721953,4.3578791,198.64294616,8.92097866,1.66723552,8.27754496,2105.04391913,655.95700008,16.15330265,68.3674924,1.62705059,0.45015454,21.18889163,18.4094537,9192.84449597,,8.07844397,133.48784033,1.19721953,213.73111257,57.05752655,132.33517694,0.98172,43225.1942283,299.61439961,9.23347226,1277.51375824,0.88256776,150.38551118,724.37638006,655.95700008,4.48656244,9.66680289,681.36314866,61.18329623,1.48779736,11.20653885,0.07016476,2.96164458,491.96775013,7.7813034,431.48565394,122.18504505,2.39615739,135.38455974,35.36790859,2911.30814365,14.83608763,17.95829299,2.63078548,1430.10818737,2686.13495725,148.34207702,9.64499001,34.29415153,14.83608763,24.48013955,696.9067588,4.19026829,130.73589902,248.24323182,1.19721953,10.47567091,60.09182613,23.01296864,6756.39494905,1625.8526344,40.07219882,82.51046315,2.14148576,0.84054699,3882.32834601,32.78032075,868.85755157,1.52770376,125.09932132,1.0,5.43753083,3.86888334,9980.02357316,8.78787238,10816.25213483,76.00935927,1077.49526115,9.36406797,616.61437885,1.95583,31.72631762,22.8519717,3.10201576,4.12577747,118.48831165,3.86826469,10.56852938,0.36092325,184.11977099,3.23249287,0.46033091,28.23129012,25.54512859,16083.20827689,76.00935927,2.44703215,4844.13248701,4381.73098082,1.95583,308.87438807,58.0516297,0.88256776,4.79389552,123.53319329,33.79376305,11.81908709,99.5238974,83.4605734,1.19721953,1804.80844595,12.06710045,42.40688262,0.88256776,3.85304746,70.10050896,4.65300793,,1902.98689479,1.59518448,1020.4072695,38.56378453,2.40152885,4.48957325,2.99902707,3480.02202587,0.0009091,395.29076668
2018-01-09,4.37791737,9702.1366155,0.84518541,137.48669738,20.39525614,8.38848313,1.59235485,1.19208097,27067.10397348,14.76394808,2.01447163,119.33174224,110.27000004,14.76394808,36.74934508,578.07359738,7.44705853,0.8821669,4.18337947,9.82740456,1.17232005,1.19208097,4.33917473,199.23657709,8.88738084,1.66070651,8.23751647,2095.39281337,655.95699999,16.58581826,67.9040622,1.62080654,0.44822245,21.10321584,18.35799763,9143.92089369,,8.03735025,133.48590839,1.19208097,212.96423787,56.81209141,131.95817638,0.97750302,43076.50795333,298.22998514,9.26261746,1275.19472636,0.8821669,149.9026391,724.65953848,655.95699999,4.49471718,9.67805884,678.78823368,61.49524055,1.48519659,11.1909424,0.07028952,2.96375795,491.96775006,7.78506799,429.75204907,122.01153152,2.38337428,134.20148294,35.31971091,2901.75149668,14.76394808,17.88121456,2.60616677,1423.24716385,2675.45124645,147.55861458,9.60224973,34.15351617,14.76394808,24.40892086,692.17093432,4.17244638,130.45381902,247.08571331,1.19208097,10.43070849,60.04726613,23.01333555,6708.80751797,1598.15517353,39.85231759,82.13074402,2.1320168,0.83846494,3882.06270352,32.59701404,864.36344816,1.52438716,125.36019358,1.0,5.43014608,3.87343197,9941.52488692,8.74894216,10752.82806328,75.90141929,1072.87241149,9.32257256,613.93548563,1.95583,31.59014573,22.67383915,3.08134127,4.1043902,118.67174579,3.85351634,10.52331941,0.35954953,183.34060654,3.21860788,0.45835513,28.12747499,25.55146761,16016.08113141,75.90141929,2.43412421,4824.36908135,4365.97613116,1.95583,309.51379213,57.72036043,0.8821669,4.780161,123.01397583,33.67724892,11.73809138,99.07215192,82.87887222,1.19208097,1797.06206373,11.99989465,42.20108754,0.8821669,3.83890685,69.84241171,4.64731283,,1897.29542654,1.59235485,1015.85914376,38.46977312,2.4014341,4.47030364,2.97710536,3472.13296367,0.00090927,394.26767358
2018-01-10,4.39149393,9730.04800224,0.84780645,137.70931105,20.45763026,8.38302647,1.59539169,1.19577779,27153.66365504,14.95158454,2.02126811,119.33174225,110.27,14.95158454,36.88132177,579.65241192,7.44764182,0.88499115,4.17606337,9.80473085,1.16954627,1.19577779,4.35263116,199.58174184,8.91524566,1.66379078,8.26376917,2101.96367125,655.95699971,16.04534875,68.2107563,1.61522444,0.44961245,21.18274437,18.44115192,9177.5037029,,8.08396531,133.24553259,1.19577779,213.91877576,56.98787827,132.42328274,0.98053776,43387.94190161,299.31130761,9.29175225,1277.72912865,0.88499115,150.43043433,728.22765177,655.95699971,4.55107121,9.65403893,681.22561683,61.49295958,1.49308393,11.20207781,0.07044664,2.94006896,491.96774972,7.78265975,430.44753118,122.55823699,2.39077132,133.33680748,35.3830039,2908.90823649,14.95158454,17.93666685,2.60208337,1416.23438754,2684.25862779,148.49532976,9.6339282,34.27275695,14.95158454,24.45178382,689.4488248,4.18522222,129.08594804,246.84019688,1.19577779,10.46305566,60.48937923,23.00078447,6717.31865805,1609.50293606,40.14398435,82.47045779,2.14003245,0.83882257,3888.29538136,32.71070563,865.89181297,1.52527507,125.15693117,1.0,5.44111285,3.872596,9889.24762369,8.77961052,10796.37299559,76.241516,1076.20297206,9.35332835,615.8343178,1.95583,31.68811143,22.33599881,3.06782468,4.09395416,118.78033628,3.86360414,10.55616605,0.36053565,183.89853202,3.22860046,0.45977656,28.21295235,25.55958228,16075.09928697,76.241516,2.42837131,4824.41634613,4380.41588334,1.95583,309.37309535,57.9566478,0.88499115,4.7937109,123.2803301,33.73516891,11.79313111,99.45929222,83.15485074,1.19577779,1802.63501837,11.79256584,42.33248311,0.88499115,3.85204011,70.03769718,4.64001629,,1903.57940263,1.59539169,1020.81400823,38.39712822,2.41002886,4.48416671,2.98627172,3459.23601587,0.00090811,394.947693
2018-01-11,4.41920527,9794.72814575,0.85315631,138.41405025,20.57336308,8.43617793,1.59990149,1.20332342,27323.09317778,14.99331806,2.03414467,119.3317422,110.26999993,14.99331806,37.08916919,583.27259759,7.44718013,0.88858752,4.16913078,9.7864657,1.17315204,1.20332342,4.38009726,221.4489541,8.96952096,1.66107551,8.31466689,2115.51439893,655.95700001,16.87437347,68.1983115,1.62604009,0.45244961,21.31076828,18.54227964,9238.46060018,,8.14420485,133.39356863,1.20332342,215.15437397,57.34830859,133.17862653,0.98672522,43659.74306391,301.16603432,9.34462786,1279.95656169,0.88858752,151.83951266,728.82966088,655.95700001,4.54608452,9.6458481,685.99005635,61.51747657,1.50732587,11.22926024,0.07073983,2.94242003,491.96774987,7.82355538,433.19312248,123.27980073,2.40654445,133.99677721,35.61109092,2924.59742846,14.99331806,18.04985133,2.62373373,1424.72680005,2701.60277,149.44960744,9.69545721,34.50019163,14.99331806,24.53085522,694.59273716,4.21410854,129.78609133,248.50526846,1.20332342,10.52907994,60.57943001,23.26060371,6774.69656767,1627.87666769,40.33781854,83.23449527,2.15300135,0.84379771,3919.4889272,32.92675636,872.33065925,1.52606345,125.36076903,1.0,5.48027346,3.88134196,9956.60219771,8.83395998,10861.15216909,76.69038925,1082.99110135,9.41306525,619.70836726,1.95583,31.88807068,22.44949313,3.0875859,4.11432337,118.75148256,3.88450375,10.62092143,0.36292565,185.02321976,3.24897331,0.46267786,28.39913176,25.51806701,16079.05574978,76.69038925,2.44147891,4853.42854263,4396.249799,1.95583,308.92012903,58.32979776,0.88858752,4.78565398,124.06826226,34.25935808,11.88563531,100.02103983,83.65225581,1.20332342,1814.01005861,11.59709456,42.59668368,0.88858752,3.87209799,70.50072483,4.64027723,,1912.77776355,1.59990149,1027.04842969,38.48508404,2.42750268,4.51246283,3.00479786,3443.66371182,0.00091035,397.18803829
2018-01-12,4.45556125,9874.76431039,0.86017506,139.24920139,20.7449399,8.505361,1.61061115,1.21322294,27556.22563393,15.07223091,2.05090556,119.33174221,110.26999994,15.07223091,37.42047481,586.60428551,7.44894483,0.88618889,4.1697736,9.81944141,1.17817709,1.21322294,4.4161315,223.10435437,9.03982836,1.67619608,8.38471336,2132.72881227,655.95699997,16.98376553,68.70597803,1.64049411,0.45617183,21.48550837,18.67982431,9311.51052076,,8.223247,133.76734123,1.21322294,216.70617399,57.81998772,134.35664488,0.99484281,44143.74538509,303.63134105,9.42410644,1289.37538892,0.88618889,152.82904254,732.44723644,655.95699997,4.55270957,9.65524366,691.60511726,61.52520479,1.51905282,11.26074127,0.07088608,2.95401032,491.96774978,7.84451274,437.35722868,124.0498575,2.42589688,134.91459413,35.92895975,2948.98880252,15.07223091,18.1983441,2.65132061,1433.06018857,2724.20949376,150.69456652,9.77548543,34.76843133,15.07223091,24.57482545,697.35104574,4.24736401,129.92391893,248.59519232,1.21322294,10.61570072,61.16994182,23.11361859,6819.01838808,1639.07918725,40.13178634,84.00181802,2.17113993,0.84623047,3936.98426376,33.19137883,880.54733305,1.53850897,125.35232459,1.0,5.52229853,3.90364943,10090.40215585,8.90465396,10950.79037126,77.16942924,1091.90798897,9.49076255,624.82535465,1.95583,32.15040791,22.67006215,3.09473952,4.12282003,118.53369333,3.91996925,10.7095764,0.36546213,186.76446697,3.27570191,0.46648422,28.63028805,25.52939785,16176.58960836,77.16942924,2.44934645,4907.22838498,4425.1053877,1.95583,308.80806946,58.91508338,0.88618889,4.82540928,125.04632059,34.53490919,11.921868,100.82384061,84.36812395,1.21322294,1828.933582,11.87938248,42.94918488,0.88618889,3.90560404,71.0977022,4.63471194,,1931.19438624,1.61061115,1039.1320791,38.7623426,2.42819506,4.54958602,3.0316919,3464.83479201,0.00091144,399.57526887
2018-01-15,4.50412119,9990.94061261,0.86954988,140.51380621,20.75880202,8.56816704,1.62086813,1.22644553,27842.34348351,15.14215714,2.08443593,119.33174222,110.26999995,15.14215714,37.83916147,592.64211895,7.44902422,0.88848788,4.176239,9.84004303,1.18138941,1.22644553,4.46426172,222.93605744,9.1323228,1.67743883,8.48252529,2156.89346479,655.95699977,17.32702955,69.1857545,1.65274373,0.46114352,21.73847257,18.93062734,9413.44221195,,8.31893624,134.00926596,1.22644553,218.57910098,58.54034615,135.10270234,1.00568536,44792.74969392,306.89472912,9.52892713,1303.17444586,0.88848788,156.1456153,739.52382608,655.95699977,4.65805676,9.66926314,698.26534258,61.49049455,1.52253308,11.30292083,0.07064385,2.99210474,491.96774989,7.89439079,440.49912015,125.25159805,2.4566103,135.56476866,36.25791431,2980.32736287,15.14215714,18.39668289,2.69144461,1452.42814273,2747.44086123,152.33496117,9.88257897,35.09539184,15.14215714,24.63288874,707.36911245,4.29515987,130.94262996,253.38412133,1.22644553,10.73139835,61.80481037,23.06739758,6890.57903619,1656.98577186,40.42890688,85.08760881,2.19289355,0.85270837,3989.82168555,33.58578696,889.79315058,1.53821612,125.74469506,1.0,5.53982616,3.92105281,10150.80581106,8.99996989,11071.10431378,77.91701277,1103.8297636,9.59473686,631.69869528,1.95583,32.50080644,23.04476282,3.11954392,4.1688457,118.30274919,3.96268627,10.82431895,0.36897869,188.68904,3.31140284,0.4715683,28.953045,25.53363918,16333.68998041,77.91701277,2.47537343,4912.48678977,4462.51544829,1.95583,308.93771789,59.34776173,0.88848788,4.84238258,126.28953416,34.90773043,11.98811271,101.58172555,85.16066408,1.22644553,1848.86663039,11.96133836,43.43628392,0.88848788,3.93794471,71.0329601,4.63722229,,1945.03128593,1.62086813,1046.31136094,39.13397103,2.45566343,4.59917072,3.06722939,3482.07087672,0.00091473,403.39169037
2018-01-16,4.49624606,9975.8067566,0.86802953,140.06174711,20.72644136,8.58302602,1.61954512,1.22430117,27805.71204685,15.02749458,2.06931106,119.33174224,110.26999998,15.02749458,37.78601977,591.34880937,7.44909497,0.88885245,4.17108506,9.84420363,1.17776138,1.22430117,4.45645627,222.83304565,9.12841048,1.68309861,8.46092391,2152.48062912,655.95700009,16.43593691,69.15960721,1.64069969,0.46033724,21.70952481,18.89290265,9398.86178949,,8.2718576,134.18226103,1.22430117,218.54998834,58.45566263,135.58928982,1.00392695,44772.23640786,306.4820033,9.51392107,1303.32340637,0.88885245,155.8244362,742.8922523,655.95700009,4.65472332,9.63588212,695.9646863,61.55495136,1.52070069,11.29803487,0.07138388,2.98345199,491.96774994,7.88789007,440.7688284,125.95682696,2.44753512,135.55940247,36.21554481,2972.95465601,15.02749458,18.36451759,2.67393672,1457.78877831,2748.36435466,151.28637594,9.86622754,35.0268545,15.02749458,24.66010941,708.99612282,4.28505406,130.57161079,254.43707565,1.22430117,10.71263526,61.96984482,23.09737841,6873.1684042,1640.59718364,40.17597594,84.96354658,2.19119349,0.85073039,3984.53980315,33.48581767,886.55485755,1.53858705,125.81634164,1.0,5.53135895,3.95482784,10172.12832331,8.98377841,11049.54128432,78.3557244,1101.87567509,9.57886169,630.52762888,1.95583,32.44398108,23.12485282,3.11550695,4.20470298,118.4202932,3.95402104,10.80709239,0.36804437,188.45630025,3.30561314,0.4707438,28.8973406,25.44876677,16316.81076946,78.3557244,2.47283174,4927.23894701,4455.51069729,1.95583,308.66654434,59.46218766,0.88885245,4.85487711,126.10111112,34.96072813,11.94130033,101.37166529,85.06314959,1.22430117,1845.63401825,11.96106575,43.38849722,0.88885245,3.93067538,71.89312253,4.65773397,,1948.74532862,1.61954512,1045.62399794,39.11791554,2.44475973,4.5911294,3.04002917,3514.6813025,0.00091721,401.59771768
2018-01-17,4.49103007,9962.68721843,0.86702255,140.127832,20.60360711,8.5223381,1.61748491,1.22288089,27772.444814,15.00886197,2.06720543,119.33174222,110.26999999,15.00886197,37.74611326,590.67985042,7.44698619,0.88452759,4.17009945,9.82249864,1.17599806,1.22288089,4.45128644,248.40926764,9.11454483,1.6769064,8.44902923,2150.37934087,655.95699957,16.53457603,69.34341347,1.6388816,0.45980321,21.65726186,18.87043729,9385.00359052,,8.24938057,133.95688346,1.22288089,218.6913555,58.30334394,135.43168295,1.00276233,44724.76107905,306.0618253,9.49909399,1305.40148121,0.88452759,155.95492917,741.32717146,655.95699957,4.6605326,9.60629956,695.45089069,61.50285458,1.52188627,11.28705924,0.07165984,3.01218144,491.96774988,7.86850595,440.81086796,125.56541357,2.44566152,135.51847792,36.17086211,2968.88639548,15.00886197,18.34321335,2.66236146,1447.67043759,2744.46134578,151.74047071,9.84866732,34.92293792,15.00886197,24.59138851,703.24225428,4.28141112,130.32446631,251.75574408,1.22288089,10.70020779,62.05353915,22.78284525,6889.38748725,1639.75430323,40.23210636,84.85555639,2.18817228,0.84921877,3979.39466076,33.45329205,886.95617843,1.53205609,126.10154983,1.0,5.56962682,3.94051382,10105.58795495,8.97460263,11041.14472708,78.11223238,1100.58812185,9.56181293,629.80107413,1.95583,32.40634358,23.10868058,3.11213419,4.19929709,118.35514711,3.94836243,10.79481599,0.367618,187.97411849,3.30177875,0.4701977,28.86578534,25.38985149,16309.53481363,78.11223238,2.4557549,4853.4435275,4437.45942878,1.95583,308.5126859,59.341954,0.88452759,4.8415048,125.84061189,35.05723907,11.93307953,101.29569725,84.96228628,1.22288089,1843.49294162,11.83173222,43.34989781,0.88452759,3.92879891,71.88333956,4.65021004,,1945.88383683,1.61748491,1044.01888014,39.08103503,2.44374321,4.58580334,3.03091085,3478.26461788,0.00091713,398.08220288
2018-01-18,4.4951136,9972.87951559,0.8678109,140.18436709,20.6881012,8.58966505,1.61734435,1.22399281,27815.13330456,14.84321963,2.06962608,119.33174218,110.26999991,14.84321963,37.7855742,591.13504742,7.44721007,0.88128404,4.16486136,9.81092928,1.173138,1.22399281,4.45533384,248.45426347,9.11650428,1.6742939,8.4593352,2152.93910115,655.95699963,17.12765157,69.07212613,1.64174477,0.4602213,21.68947585,18.92051336,9385.32205881,,8.26904667,133.74980543,1.22399281,218.5970436,58.35541336,135.44682681,1.00367411,44816.31247078,306.3029425,9.50853065,1309.49358054,0.88128404,156.44419882,740.74020065,655.95699963,4.61615596,9.58364826,696.12768602,61.4681969,1.52328273,11.29559299,0.07192056,2.99497494,491.96774972,7.85825211,440.63224325,125.6881147,2.45059044,135.71745839,36.10413141,2965.02175417,14.84321963,18.35989218,2.64934541,1456.6951255,2747.65988274,151.86365179,9.85603555,35.01021096,14.84321963,24.65821775,710.35322152,4.28584638,130.08119753,254.62472566,1.22399281,10.7099371,62.14505831,22.83949035,6893.55113729,1648.63806577,40.33775327,84.97926102,2.18890153,0.84955896,3975.35807084,33.51695375,888.32716961,1.5314341,125.73139785,1.0,5.57833039,3.9375472,10179.5445173,8.98352693,11050.17363784,78.18856278,1101.61028244,9.56896655,630.40300887,1.95583,32.43580952,23.08205766,3.1074754,4.18191568,118.44137493,3.95474545,10.80469753,0.36819321,188.34714841,3.30478054,0.47062524,28.89300744,25.3637301,16334.12480586,78.18856278,2.45648695,4924.77579674,4448.48285064,1.95583,307.93039804,59.29414409,0.88128404,4.84103435,125.95392648,35.2138057,11.93129151,101.41124897,85.03557535,1.22399281,1845.16916404,11.88889494,43.38861801,0.88128404,3.93275908,71.98245987,4.64831162,,1942.02178682,1.61734435,1042.57300044,39.06268175,2.43772635,4.58997304,3.03048049,3472.50750413,0.0009204,397.13109128
