Date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BOV,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHE,CHF,CHW,CLF,CLP,CNY,COP,COU,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,INR,IQD,IRR,ISK,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MXV,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,USN,UYI,UYU,UYW,UZS,VES,VND,VUV,WST,XAF,XAG,XAU,XBA,XBB,XBC,XBD,XCD,XDR,XOF,XPD,XPF,XPT,XSU,XTS,XUA,XXX,YER,ZAR,ZMW,ZWL
2021-09-08,4.34161839,94.4927069,121.60099475,582.26489148,2.11527128,755.93210342,115.86949631,1.60670501,2.11613259,2.00870557,1.95583,2.36439395,100.55072751,1.95583,0.44450606,2344.59355716,1.18219697,1.59081218,8.15480858,,6.29148494,1.18219697,87.23646554,13.1947842,2.97922525,2.3815909,1.50128,2340.02407184,,1.08791434,,0.03374369,931.14997824,7.637814,4512.9848815,,737.79936221,1.18219697,28.56990559,110.27,25.41319263,210.23238498,7.43617251,67.21047144,161.13192006,18.59176557,17.73295462,53.9361385,1,2.4566647,0.85867925,0.85867925,3.67724891,7.07183239,0.85867925,60.45011844,11572.02878815,9.14317331,247.0814165,9.19393209,28.32393018,7.47866818,117.52850894,350.10874822,16870.44932756,3.7870801,87.23646554,1725.89598159,49681.87478016,150.60224819,178.45813814,0.83817766,130.21391554,130.16216134,100.25161947,4820.57648298,491.96775,1063.97182793,1383.31318722,0.35586571,0.96940083,502.72591862,11307.1075731,1782.16193981,236.04469512,203.0806109,16.7960659,5.33417009,10.58452591,20.83182195,4638.41404654,61.35039685,1944.71597906,3365.37565142,9.46975006,42.76386689,50.15818344,18.25852107,961.15212636,23.58466028,3.51645189,4.90373726,75.34997328,16.7960659,486.23987276,41.49527163,10.299252,140.23261835,1.66719136,0.45455474,1.18219697,4.8395359,4.14805202,59.13728414,198.15265767,4.51692417,8190.05344697,4.30319699,4.94568891,117.53112009,86.63144675,1187.25493589,4.43323866,9.50315541,17.10951163,520.26559625,10.20070844,1.59081218,0.85867925,12381.11849798,682.6969895,25.33555806,,24.47404526,10.34422353,1487.04022026,16.7960659,38.67526283,13.39265803,4.14176371,3.28169152,2.65034067,10.020731,8.01919316,32.77283955,2740.55009492,31.66476325,4178.96197607,1.18219697,,,50.37738939,,12637.66887181,4749595.04768339,26991.2662936,131.22936601,3.02181073,655.957,0.04939447,0.00066106,,,,,3.19442951,0.830385,655.957,0.00052754,119.33174224,0.00119978,,,,,296.3768028,16.7960659,19.15560317,
2020-01-13,4.0910743,86.41265821,122.18504787,533.3132423,1.99401473,539.41941519,66.74693335,1.61176569,1.99401579,1.88987389,1.95583,2.22795061,94.27963108,1.95583,0.41885471,2090.04993243,1.1139753,1.50006732,7.67906505,,4.60634433,1.1139753,78.81407972,11.87875349,2.3592059,2.23885415,1.45362915,1879.70051459,,1.08091375,,0.03542892,863.31116496,7.67961728,3658.8885165,,636.14009607,1.1139753,29.52034553,110.27000003,25.2214347,198.06866812,7.47325947,59.06893594,133.29559101,17.74205402,16.70962954,35.65075004,1,2.40922798,0.85787131,0.85787131,3.2137296,6.32685196,0.85787131,56.91639358,10593.426699,8.56856048,232.1312439,8.65788553,27.3625256,7.44544139,109.49492513,334.09865345,15228.51131361,3.86145125,78.81407972,1326.45313977,46889.72444835,137.40634989,147.23157481,0.78980849,122.44399765,113.16569031,77.54806985,4521.7147815,491.96774998,1002.61825341,1288.44099457,0.33799841,0.91345921,421.59210338,9871.12177944,1679.31776923,202.24208432,211.65523304,16.06702182,1.55551018,10.66774738,19.29778306,4134.28870387,61.58939824,1648.33396339,3055.16148614,8.91762209,41.74496022,40.55476937,17.14866502,819.48364938,20.96553457,3.28117729,4.52802701,69.39292079,16.06702182,403.26012348,37.56288523,9.90514798,126.69363317,1.67895163,0.4283235,1.1139753,3.71784773,3.79414984,56.17490882,172.58226844,4.2371057,7229.72336135,4.0548701,4.77839133,117.65001392,68.32721549,1054.01673968,4.17740739,9.23527858,15.21933232,50.29618559,10.54755274,1.50006732,0.85787131,10802.40527732,647.35774796,8.30685621,,24.55543223,9.7472839,573.69596652,16.06702182,33.62359573,10.79986701,3.89908051,3.14084448,2.55509794,6.53397778,7.50544841,33.29640383,2564.38567907,26.70054364,4088.10796592,1.1139753,,,41.65120836,,10639.36645374,74773.34931838,25817.0328396,129.84717424,2.93157463,655.95699988,0.06185703,0.00071814,,,,,3.01054184,0.80690886,655.95699988,0.0005243,119.33174223,0.00114466,,,,,278.82245489,16.06702182,15.79062695,
2020-02-16,3.97774867,83.56232362,122.07045356,518.86735284,1.93499077,535.88534567,66.4823006,1.61296511,1.93878016,1.84125202,1.95583,2.16623481,91.85272393,1.95583,0.40725214,2042.7761157,1.08311741,1.50751998,7.48984786,,4.66040524,1.08311741,77.4807279,11.89122798,2.37202718,2.18281638,1.43530588,1824.95538567,,1.06385398,,0.03444752,857.62530386,7.56691956,3673.41521368,,616.86480699,1.08311741,28.70261126,110.27000004,24.865962,192.85712522,7.47041456,57.81609413,131.72066215,16.98526052,16.24676109,34.75746968,1,2.38085156,0.83011517,0.83011517,3.11298733,5.7429047,0.83011517,55.34773269,10204.37903709,8.27182521,226.77495944,8.41283847,26.71602683,7.43348806,100.5578807,335.38482331,14842.89299453,3.71205888,77.4807279,1288.0750158,45518.43412197,137.39743609,151.42496352,0.76793024,118.88578968,108.96427611,75.65574848,4402.13609183,491.96775014,974.8056655,1280.9394657,0.3308939,0.8881613,407.79293948,9659.05512864,1632.7994895,196.54239177,212.33779874,16.15060887,1.52936147,10.51557499,19.04661965,4012.00309807,61.38027231,1565.51506571,2991.10770012,8.66522363,40.51923789,40.77981342,16.97243318,800.57585099,20.08290302,3.12013632,4.48698868,69.63215308,16.15060887,393.71625663,37.05361501,10.01752903,124.5502701,1.68321016,0.41645864,1.08311741,3.66092001,3.66431528,54.76129248,167.07055145,4.2483424,7072.97807093,3.94254736,4.76923103,117.43640951,68.83459705,1003.87689246,4.06169027,8.91458086,15.1961165,55.90261527,10.53374695,1.50751998,0.83011517,10516.03661511,633.60773462,8.03131853,,24.47950188,9.4772773,557.80418598,16.15060887,33.80462793,10.50144323,3.80174203,3.0803705,2.57760934,6.56180209,7.33117127,32.51755529,2498.0432167,26.6285342,3973.42571856,1.08311741,,,41.26930377,,10322.10889233,79386.00716145,25171.75254842,127.02399236,2.93925722,655.95700039,0.06106096,0.00068406,,,,,2.92441705,0.79203614,655.95700039,0.00044576,119.33174229,0.00112223,,,,,269.96709516,16.15060887,15.93281108,
2021-01-28,4.45178418,94.91839672,123.845248,637.01130739,2.16979449,795.45244756,105.71260136,1.57967486,2.1698281,2.05949156,1.95583,2.42438894,102.74559077,1.95583,0.45578512,2355.85929411,1.21219447,1.61102665,8.3408976,,6.55325248,1.21219447,88.4147926,13.36508988,3.17189544,2.44215233,1.55300447,2383.78539072,,1.07727999,,0.03071885,894.82550125,7.81915821,4328.4496981,,742.11907393,1.21219447,32.1231534,110.27000002,26.05861919,215.4945246,7.43678758,70.33930512,161.0309229,19.04289454,18.18291702,47.87946975,1,2.47644763,0.88324592,0.88324592,3.99409556,7.05567669,0.88324592,62.45661497,12484.61440497,9.42561829,252.81457227,9.39858637,29.19475894,7.56315216,89.71109614,358.75197531,17049.68253778,3.98037421,88.4147926,1772.55898974,50864.80990353,156.08874381,176.65555652,0.85944588,126.4578242,133.51624818,102.79680838,4925.55586858,491.96774993,1091.06099048,1348.47810899,0.36702738,0.99399936,514.11770414,11307.24176415,1827.38316046,233.34560769,207.24656029,18.29852048,5.40697212,10.86713053,20.97857998,4598.19152863,61.67282827,1611.83109614,3450.93651703,9.68054397,43.69412695,47.96748527,18.60955479,936.57095269,24.53494739,3.68692368,4.9041747,91.79960441,18.29852048,461.261446,42.32772956,10.43088429,142.12677906,1.69033866,0.46608877,1.21219447,4.41845788,4.25707002,58.27350367,194.49212216,4.54136997,8412.45920819,4.41238786,4.8775936,117.64385386,92.07385618,1192.95307143,4.54572925,9.73275129,25.69852985,66.91222927,10.0962432,1.61102665,0.88324592,12362.75840467,698.78597345,17.15523111,,24.51211525,10.60670159,621.61012254,18.29852048,36.32971123,13.80981143,4.2469363,3.25153704,2.77401329,8.91884436,8.24102155,33.96305071,2811.52418565,34.13697369,4471.62288069,1.21219447,,,51.1593023,,12802.6214349,2206609.23673119,27784.03491117,132.18109469,3.04656231,655.95699981,0.04630781,0.00065773,,,,,3.27597871,0.8415522,655.95699981,0.00052102,119.33174227,0.00113378,,,,,303.50241495,18.29852048,25.96610166,
2021-03-10,4.37005507,92.31687343,123.41432358,617.57936309,2.12950886,739.17284313,107.94663883,1.54171666,2.1299928,2.02168241,1.95583,2.37988023,100.91582925,1.95583,0.44741748,2337.1689886,1.18994011,1.60095146,8.209198,,6.74899087,1.18994011,86.64309241,13.11096724,3.09747285,2.39833606,1.50455976,2351.62134539,,1.10853089,,0.03148023,864.2908816,7.74146552,4229.91574271,,728.24273772,1.18994011,31.53341299,110.26999993,26.23828058,211.61334409,7.43608898,68.68783566,159.34276847,18.71078738,17.84910169,47.89554205,1,2.43228976,0.8561812,0.8561812,3.95532347,6.83067671,0.8561812,61.11687854,11980.38247864,9.17617453,248.57989676,9.2352747,28.65501916,7.58753582,90.64096713,367.18958056,17152.98370369,3.9552091,86.64309241,1736.72230852,50042.55054663,152.50315342,179.78264606,0.84366754,129.21630601,130.50021122,100.90693373,4833.76798041,491.96774993,1070.8670776,1357.16550954,0.36007408,0.97575089,499.94449644,11149.90103599,1793.8347203,233.77456205,206.912609,17.99574191,5.27538705,10.74031929,20.8915349,4479.75495947,61.749846,1678.20487766,3391.29237478,9.51233294,42.79824294,47.4968952,18.27747862,927.77086142,24.95642092,3.81943194,4.91065408,88.26675646,17.99574191,452.48167313,41.53834825,10.06349094,139.27877108,1.65837304,0.45753197,1.18994011,4.39729034,4.17521721,57.73675985,186.88275492,4.57383523,7920.64060296,4.33138201,4.88779497,117.60621132,87.69859913,1164.72918637,4.46227542,9.38440043,25.19739914,450.66105952,10.12450782,1.60095146,0.8561812,12136.89400276,686.50556464,16.84082797,,24.64512224,10.41197599,610.17239619,17.99574191,36.57153464,13.57102291,4.1570619,3.26026689,2.69490497,8.95412543,8.07915945,33.72329898,2759.49303441,33.0208684,4354.73344579,1.18994011,,,53.12328139,,12498.87649534,2235526.31662104,27466.77342986,129.51536315,2.99280337,655.95699963,0.04569668,0.00069228,,,,,3.2158387,0.83337088,655.95699963,0.00051701,119.33174221,0.000993,,,,,297.94110375,17.99574191,26.11918705,
2021-12-05,4.14680971,108.59967342,120.87903899,552.92479965,2.02099175,661.10178671,114.26921132,1.60804569,2.02118159,1.91833493,1.95583,2.25830345,96.87603415,1.95583,0.42456105,2251.51958348,1.12915172,1.54556932,7.79077038,,6.38395061,1.12915172,84.95313088,13.30684507,2.87073757,2.27767841,1.44788393,2226.00276885,,1.03941763,,0.03441428,949.66529814,7.19382874,4480.95158803,,710.50778406,1.12915172,27.23084385,110.27,25.43970556,200.74975695,7.43606637,64.14732497,157.00715082,17.77436483,16.93727587,54.31879593,1,2.40181641,0.85311451,0.85311451,3.50812745,6.95483945,0.85311451,59.15976577,10728.71558225,8.74038415,236.23399824,8.80345851,27.29199173,7.53777229,111.62488442,364.54595608,16299.36060466,3.57028014,84.95313088,1647.77284102,47452.04497014,146.58796001,175.44763258,0.80056857,127.58197733,127.39635445,95.74227817,4597.3800167,491.96774999,1016.20142384,1334.70279519,0.34169587,0.92588426,494.59336681,12299.35884627,1702.19622493,228.92749925,160.31044798,18.11909913,5.19322086,10.43407748,20.05917705,4492.87009814,61.60153939,2016.67471814,3226.31364583,9.06756226,40.98451459,48.61629042,17.35898495,923.61244127,23.96411832,3.54135623,4.76990844,72.07321144,18.11909913,462.99094162,39.81990507,10.34958409,136.56215788,1.67084646,0.43415884,1.12915172,4.60876905,3.96215428,56.84859493,199.51601777,4.59878825,7714.3794293,4.11011228,4.94628228,117.41701219,83.17726047,1168.05990841,4.23431897,9.09136857,16.77708444,492.79994185,10.34514717,1.54556932,0.85311451,12572.63997621,651.56882104,24.27096169,,24.49086802,9.88007759,2836.42145242,18.11909913,38.17599583,12.76166172,3.94482242,3.25193865,2.57669866,15.47370966,7.66700968,31.28454487,2596.82126765,30.87880578,4030.51737916,1.12915172,,,49.91738684,,12207.59235903,5.2303705,26158.27897553,128.88359154,2.96746283,655.95699998,0.05018653,0.00063293,,,,,3.05130727,0.80775297,655.95699998,0.00062644,119.33174224,0.00120514,,,,,282.49885167,18.11909913,20.16851462,
2020-02-02,4.0740905,84.77617285,122.08406146,530.93525928,1.98183864,550.00516165,66.86054726,1.65742784,1.98573778,1.88588836,1.95583,2.21870143,94.15579583,1.95583,0.41711587,2088.3355803,1.10935072,1.51418271,7.67076459,,4.74994749,1.10935072,79.3657974,12.02837483,2.37399119,2.23565673,1.46839735,1867.90926699,,1.06882364,,0.03528184,887.80358051,7.69533643,3793.72717494,,633.41140911,1.10935072,29.39779394,110.27000005,25.22934046,197.57442708,7.47295539,59.11871167,134.07280983,17.49794938,16.64026072,35.61006427,1,2.43502196,0.84012279,0.84012279,3.2048476,6.04338551,0.84012279,56.68781825,10477.32492162,8.50309038,230.18998493,8.61327475,27.34638299,7.44370323,104.45559052,337.1485757,15163.8147478,3.82868002,79.3657974,1320.14315395,46620.32664238,136.45014058,153.35890711,0.78652966,120.23084264,111.26747311,77.48814576,4481.73855547,491.96774992,998.17345129,1325.69136189,0.33696395,0.90942551,420.8699292,9866.44305329,1672.34620282,201.26988357,216.09974416,16.63523102,1.55728756,10.63308816,19.1915971,4035.15960058,61.79108592,1621.86449955,3054.57186979,8.87167299,41.6004883,41.1900809,17.15049167,820.05666441,20.91804282,3.25376778,4.54550609,70.73191654,16.63523102,401.05509094,37.88434237,10.20845635,127.58051931,1.71636017,0.42654535,1.10935072,3.75514136,3.74961211,56.60418021,171.2809798,4.29497309,7244.00026472,4.0380366,4.78104355,117.7565303,70.97156391,1026.58568619,4.16006518,9.16821554,15.92833754,54.25718834,10.68400538,1.51418271,0.84012279,10749.51959896,650.19033453,8.22652937,,24.46509217,9.70681876,571.31430916,16.63523102,34.61685806,10.75242019,3.893821,3.11892947,2.65393802,6.63624921,7.46093187,33.71232675,2555.38450624,27.86666216,4081.29716877,1.10935072,,,41.74671816,,10588.75257079,83099.70914072,25753.47202707,129.46028216,3.01371245,655.9569999,0.06153579,0.00069867,,,,,2.99449082,0.80565793,655.9569999,0.0004846,119.33174224,0.00115495,,,,,276.41727288,16.63523102,16.41829548,
2021-03-13,4.38992949,92.87805864,123.33972215,629.77730326,2.13670638,735.25422968,108.52296139,1.5404535,2.13967972,2.03201417,1.95583,2.3907036,101.29982827,1.95583,0.44945228,2343.01645736,1.1953518,1.60716898,8.24142724,,6.63746424,1.1953518,86.9133252,13.1345674,3.09030381,2.40799289,1.49088993,2366.75039379,,1.11171883,,0.03136855,865.42748237,7.77995193,4272.59783682,,730.8961667,1.1953518,31.6768227,110.26999996,26.18380307,212.77197837,7.43665613,68.60368899,159.26692184,18.76824222,17.930277,48.12355962,1,2.43637448,0.85864897,0.85864897,3.97329629,6.8552057,0.85864897,61.38581483,12014.39736514,9.22266327,251.34559988,9.27887905,28.75080673,7.58767324,91.86016355,367.11680016,17191.88066336,3.97757288,86.9133252,1744.52872846,50235.04023147,153.50611949,179.43317989,0.84750443,130.27541039,131.07446843,101.36559342,4852.5727552,491.9677499,1075.81324776,1358.61885857,0.36165269,0.98019648,501.72918362,11190.69919945,1801.99283845,234.63918095,207.16108766,17.86954635,5.3704827,10.76707943,21.05567303,4518.22841726,61.77828905,1684.81355279,3412.97630143,9.55724542,42.99461615,47.95759406,18.45201309,932.59950069,24.77097265,3.76512287,4.92245748,87.94371725,17.86954635,455.39677233,42.00003246,10.08260188,139.7131703,1.66561834,0.45961277,1.1953518,4.42594499,4.2205223,57.91458834,187.89772839,4.58252228,7959.92880319,4.35108055,4.88450014,117.99150178,87.92912594,1172.39655104,4.48256925,9.5246279,25.31170382,453.23253591,10.13471851,1.60716898,0.85864897,12091.06327824,688.98065147,16.91736046,,24.7384449,10.45932825,612.94737788,17.86954635,36.70847178,13.52452355,4.19512968,3.29002362,2.69227431,9.03677616,8.11558689,33.71864685,2771.65430372,33.15405549,4374.95417692,1.1953518,,,51.59230505,,12567.85845722,2217653.72946051,27555.73834661,128.25981437,3.03387202,655.95699987,0.04604218,0.0006919,,,,,3.23046239,0.83691942,655.95699987,0.00050309,119.33174229,0.00099551,,,,,299.30830897,17.86954635,26.2232778,
2022-12-17,3.88812864,92.52569456,114.60361294,417.64986511,1.8922405,534.0014201,182.83509404,1.57964519,1.89509878,1.80035624,1.95583,2.11742881,109.28549837,1.95583,0.39807662,2181.08400693,1.0587144,1.4387705,7.33160504,,5.62652437,1.0587144,87.59436782,13.590396,2.67325642,2.13352458,1.45279257,2117.57759615,,0.98722789,,0.04031689,938.55526864,7.38147647,5067.5571074,,627.35478784,1.0587144,25.2800606,110.27,24.22858745,188.45112203,7.43748257,58.59986945,146.31494116,26.13186497,15.88071604,56.69460429,1,2.36611832,0.87160356,0.87160356,2.82401466,8.82906355,0.87160356,65.63978797,9104.87115817,8.33259694,221.69301825,8.24179784,26.07606807,7.54334697,155.10132559,405.55874195,16523.62331475,3.66709736,87.59436782,1545.25397889,44492.35777077,151.28975047,160.23752006,0.75062851,144.76143122,130.32855193,89.93776037,4346.27996021,491.96775002,952.84296264,1386.92762343,0.32576647,0.86815148,494.01438653,18323.8990894,1596.01196226,389.7090758,163.45187512,18.64539638,5.09406722,11.11726506,20.46618282,4684.71755635,61.41619478,2218.34978632,3637.37761953,8.48905177,39.87128003,47.21844786,16.58936051,1081.29335217,20.95011156,2.97346937,4.68437607,67.46081543,18.64539638,471.6082747,38.53705283,10.47972084,140.2166843,1.6611277,0.40765551,1.0587144,4.0535952,3.73195837,58.81169117,237.81695859,4.68496477,7683.12529009,3.85372043,4.90481652,117.34577072,67.78394248,1125.30964275,3.97017901,8.68508157,15.1732586,598.56664053,11.0208318,1.4387705,0.87160356,19813.85635042,602.50511781,33.40799651,,24.50976525,9.26375102,2659.63633758,18.64539638,36.8860872,10.79603116,3.71583824,3.33442545,2.5117911,19.72917702,7.17434287,32.6368729,2467.3079641,38.8998504,3900.08183825,1.0587144,,,41.11832852,,11937.00336374,16.45025182,24969.71955604,124.87685508,2.86214277,655.95700003,0.04558779,0.00059049,,,,,2.85853217,0.79607004,655.95700003,0.00061813,119.33174225,0.00106633,,,,,264.88009763,18.64539638,18.81428098,711.25631134
2020-09-04,4.33943404,90.49139198,123.81296725,569.17242187,2.11503921,734.70749001,87.95370766,1.62704784,2.11506792,2.00753021,1.95583,2.36320438,100.15867509,1.95583,0.44428242,2287.38462539,1.18160219,1.61536558,8.14863174,,6.25356861,1.18160219,86.61634244,13.56410069,3.12328254,2.37827616,1.5477268,2309.22183028,,1.08124138,,0.03327278,913.9182872,8.08537301,4380.25475871,,703.2877327,1.18160219,31.31245798,110.27000002,26.48365781,210.07308404,7.44117246,69.00407457,151.66976729,18.67890858,17.72403282,42.90954761,1,2.50643774,0.89314038,0.89314038,3.63774302,6.8382197,0.89314038,61.24665281,11421.13517205,9.11553075,246.84548748,9.15853138,29.11019336,7.54027435,132.36696946,360.9293362,17435.76613895,3.98539919,86.61634244,1405.76723009,49802.36577203,164.71803379,176.32372277,0.83775595,125.66785479,128.07712867,92.97682554,4851.90342825,491.96775014,1063.48620438,1406.98946974,0.36141513,0.9689139,497.15611221,10759.21031429,1781.26529836,218.64992454,234.98620837,19.62421496,1.61107302,10.85870957,19.62702256,4543.67911668,61.53262912,1571.53124017,3383.17225588,9.43328732,44.99606461,47.0239918,18.20668617,870.64007967,25.53141211,3.89278846,4.90207447,84.58270703,19.62421496,450.09777701,41.06498094,10.5787525,139.23577051,1.76328535,0.45432604,1.18160219,4.2033061,4.11706348,57.41345756,195.7923337,4.46782777,8242.10838853,4.30103196,4.85466437,117.55560002,89.12138173,1140.42034023,4.4310082,9.66428275,21.24664011,65.28155215,10.35985305,1.61536558,0.89314038,11818.10845687,681.01946027,8.81132038,,24.55123322,10.33901914,604.14615855,19.62421496,37.12652787,12.14603955,4.135608,3.2223099,2.68107084,8.80281996,8.00001023,34.66800049,2741.49608254,32.79664726,4356.19598636,1.18160219,,,50.18065373,,12143.08827614,392243.12441293,27322.19929121,133.16019778,3.07390041,655.95700046,0.04474098,0.00061555,,,,,3.19327488,0.8363172,655.95700046,0.00051463,119.3317423,0.00131912,,,,,295.81739224,19.62421496,23.17775824,
