date,CNY,ARS,KMF,LBP,KRW,TRY,LKR,BGN,RUB,KES,GIP,UGX,CRC,DJF,UYU,SCR,GNF,FJD,NPR,SLL,GHS,CLP,EUR,SEK,TJS,TZS,STN,PYG,ZAR,DOP,YER,FKP,MDL,AZN,SGD,JOD,BAM,MAD,HUF,ETB,AED,AOA,DZD,PKR,GBP,HKD,GMD,SAR,VND,SVC,TTD,NOK,IRR,GYD,JMD,UZS,MNT,PLN,LSL,TMT,KYD,AFN,BYN,CVE,CZK,NGN,BHD,ANG,MKD,LAK,ALL,MYR,GTQ,NIO,BOB,ZMW,ERN,COP,DKK,IDR,OMR,BSD,CDF,TOP,WST,UAH,MRU,BTN,BDT,QAR,SBD,MVR,BZD,SYP,VUV,JPY,KZT,VES,BND,AMD,BWP,MGA,MUR,HNL,CUC,INR,MOP,CUP,PHP,USD,IQD,TWD,THB,MWK,MXN,RON,PEN,XOF,ILS,CHF,XDR,KWD,RSD,BMD,XAF,XAU,KHR,BIF,XAG,LYD,XCD,ISK,XPF,PGK,SHP,EGP,SZL,LRD,TND,KPW,MZN,NAD,CAD,MMK,PAB,BRL,RWF,SRD,AUD,SOS,SDG,GEL,NZD,KGS
2018-01-01,7.80829807,22.32427033,491.96775016,1809.04865903,1280.8672261,4.55298387,184.19343016,1.95583,69.21444979,123.83689453,0.88924691,4355.34435852,683.48462944,214.44063144,34.51696772,16.79368213,10801.88850746,2.44694782,123.13933992,9201.84830101,5.43887483,738.61619953,1.0,9.83555534,10.59195666,2693.7663741,24.67499949,6705.90083871,14.84745345,58.0359182,300.37772732,0.88924691,20.51833778,2.03945578,1.6057349,0.85082288,1.95583,11.2207441,310.75238093,32.81179333,4.40711854,199.1104622,137.83604336,132.71419653,0.88924691,9.37672775,57.19158757,4.50012104,27244.95161623,10.50028243,8.11722441,9.84963227,43227.91274589,248.54239558,149.44009191,9746.67461017,2915.06464347,4.17819144,14.84745345,4.20115858,0.9840261,83.38305445,2.37128611,110.27000002,25.56078015,431.99874458,0.45121214,2.14758099,61.53094849,9980.9605656,133.01660307,4.87286036,8.81353644,36.94316392,8.2933927,11.98773126,18.00048417,3581.39375684,7.44639297,16262.17404117,0.46141241,1.20003228,1910.47975151,2.6280354,3.01156021,33.77912421,42.51855458,76.60301082,99.78737711,4.36811749,9.31964052,18.50866177,2.39939013,618.03159562,131.17780988,135.22477599,398.80805196,,1.6057349,579.85938987,11.7803615,3887.76480037,40.23028198,28.30519715,1.20003228,76.60301082,9.65802959,31.80085536,60.02980315,1.20003228,1429.04615906,35.62401854,39.07263767,870.3904917,23.59601086,4.66520549,3.88519983,655.95700012,4.17225289,1.1697109,0.84238297,0.3623049,118.30906121,1.20003228,655.95700012,0.00092113,4852.02091087,2109.38704352,0.07088317,1.6320958,3.2400862,124.26078081,119.33174224,3.86056348,0.88924691,21.33961153,14.84745345,150.65312812,2.9466673,1080.09002409,70.36886771,14.84745345,1.515334,1633.24312226,1.20003228,3.9750096,1023.6467687,8.94715021,1.5370603,694.3064131,8.41278551,3.11889358,1.69258863,82.95891426
2018-01-02,7.82287464,22.16384029,491.96775007,1816.25947323,1277.76941288,4.53890996,184.99933892,1.95583,69.42967398,124.37444909,0.8863534,4370.04748634,686.86181397,215.29106256,34.71711744,16.67434216,10882.32368909,2.45288068,122.90714819,9241.32754882,5.46743379,730.6029951,1.0,9.84862279,10.63503404,2704.11903887,24.53427068,6744.04698749,14.99489194,58.17441307,301.46723123,0.8863534,20.64418608,2.04756839,1.60153365,0.85421424,1.95583,11.23242104,309.19031634,32.94861182,4.42468518,199.9022626,138.34460692,132.98813215,0.8863534,9.41704493,57.41945478,4.51805839,27362.10985209,10.54213624,8.1529888,9.79946276,43437.17469488,248.86346173,149.63138648,9783.16205249,2922.74310622,4.1629072,14.99489194,4.2168549,0.98794877,83.7488006,2.39005609,110.27,25.51349673,433.14781247,0.45301065,2.15491482,61.47806098,9990.52944379,133.55107405,4.84299834,8.85010793,37.10854831,8.33059848,12.04249816,18.07223356,3537.46935776,7.44421547,16259.54000812,0.46325159,1.20481557,1914.99048228,2.65147461,3.0318508,33.87520645,42.67392179,76.45856809,100.12396829,4.38552868,9.35715271,18.61838923,2.41171308,620.53174299,130.92680026,135.16566527,400.87043371,,1.60153365,583.2536643,11.83941258,3906.27233932,40.28588566,28.41300229,1.20481557,76.45856809,9.69955628,31.92761263,60.11171776,1.20481557,1430.21351482,35.64618341,39.10179577,874.13543116,23.47978243,4.64963346,3.9001838,655.95699983,4.16525665,1.17102884,0.84375152,0.36310457,118.76414221,1.20481557,655.95699983,0.00091856,4850.19317454,2118.37274491,0.07018959,1.63746758,3.25300192,124.99974804,119.33174218,3.87367399,0.8863534,21.37317623,14.99489194,151.27985605,2.96783147,1084.33628396,70.72648256,14.99489194,1.50690514,1638.5422913,1.20481557,3.93154358,1026.1156707,8.98105033,1.54001884,696.17754996,8.42888282,3.13149085,1.69572042,83.07898694
2018-01-03,7.82350862,22.21672662,491.96775022,1813.67090729,1280.10386242,4.5315189,184.92635324,1.95583,68.88448619,124.50802615,0.88990931,4380.0151263,685.2929895,214.6833963,34.6404737,16.7770146,10883.96858229,2.46233672,122.72872858,9232.97076493,5.46029494,730.1553884,1.0,9.83142007,10.61979983,2700.23747328,24.51757387,6761.03683227,14.85017961,58.04444351,301.05133623,0.88990931,20.61915723,2.04465015,1.59814102,0.8529968,1.95583,11.22918459,308.70003037,32.90516347,4.41837904,199.61741013,138.28552991,133.03497805,0.88990931,9.40440721,57.32547411,4.51161917,27312.99180246,10.5271114,8.10268609,9.75968538,43389.22926366,249.37072162,149.01644616,9771.48206762,2919.69675429,4.15577966,14.85017961,4.21178575,0.98654071,83.67846748,2.40225968,110.27000005,25.5168918,434.86065465,0.45236502,2.15148489,61.5098293,10003.87297811,133.19619129,4.83557431,8.83104607,37.06005703,8.3173795,12.14171471,18.04647669,3495.11275393,7.44488178,16175.14401229,0.46259135,1.20309845,1909.64986508,2.64029381,3.02842484,33.81856261,42.60906584,76.3475761,99.97371737,4.37927834,9.31315951,18.60124822,2.40903015,619.65761696,131.34818894,135.10587809,400.82507545,,1.59814102,582.41364218,11.83336371,3887.7836787,39.88919913,28.37395534,1.20309845,76.3475761,9.68653943,31.88210882,59.94059171,1.20309845,1429.94847921,35.59968935,38.82645926,871.47221754,23.29847664,4.62566793,3.88733453,655.95700012,4.14938435,1.17429982,0.84362292,0.36258817,118.79490685,1.20309845,655.95700012,0.00091337,4893.50338733,2121.61449756,0.06993553,1.63357193,3.24836573,125.25649845,119.33174233,3.88726815,0.88990931,21.30665163,14.85017961,151.1176009,2.98800511,1082.79450317,70.89601137,14.85017961,1.508069,1633.73463087,1.20309845,3.90137981,1024.49665614,8.96596894,1.53475797,698.38346947,8.44351407,3.09846768,1.6937213,82.96085636
2018-01-04,7.83292392,22.47846685,491.96775005,1818.51267017,1281.43255922,4.52674054,185.34953365,1.95583,68.71516785,124.73328842,0.89100768,4398.84110937,687.51674497,215.44284312,34.67187711,16.90462066,10890.6740796,2.45879251,122.93525307,9259.54749965,5.48997788,729.96481361,1.0,9.81991997,10.64707408,2707.66823462,24.53645023,6797.19629429,14.85492403,58.20840519,301.75237923,0.89100768,20.62353588,2.03919362,1.60222897,0.85527395,1.95583,11.24139593,308.29674366,33.0222169,4.43017432,200.15023966,138.61492255,133.51664977,0.89100768,9.43103262,57.41821617,4.52366336,27398.05957118,10.5552145,8.14159727,9.74152595,43544.80236603,249.21162247,149.31413256,9814.65775227,2928.45142211,4.15086125,14.85492403,4.22193542,0.98917438,83.87650149,2.41668362,110.27,25.52313669,434.83860202,0.45357265,2.15730501,61.48179685,10029.50932155,133.1727673,4.83043007,8.85466519,37.13420275,8.33727877,12.23144455,18.09465343,3482.60515675,7.44591505,16189.27744831,0.46382628,1.20631023,1913.3116459,2.65239818,3.02870044,33.81128027,42.72425259,76.47605167,100.2414418,4.39096923,9.36932586,18.58923991,2.41520564,621.30480338,131.09678442,136.06609717,400.58059945,,1.60222897,583.97179972,11.83420146,3900.34658371,40.16420013,28.45289773,1.20631023,76.47605167,9.71396359,31.96722107,60.161323,1.20631023,1434.89479561,35.72109894,38.86531666,874.52839818,23.22988161,4.63163819,3.86578472,655.95699998,4.15778486,1.17669562,0.8447662,0.36360045,119.01833071,1.20631023,655.95699998,0.00091444,4866.14467903,2132.68687988,0.07004832,1.63766248,3.25703756,125.34736563,119.33174223,3.89761692,0.89100768,21.36332286,14.85492403,151.52026736,2.94638321,1085.67934789,70.70633403,14.85492403,1.5108503,1638.19784007,1.20631023,3.89326416,1026.17104344,8.99016013,1.53572153,700.1793415,8.465778,3.12416756,1.68862335,83.17372456
2018-01-05,7.8123157,22.83409109,491.96774989,1815.00499655,1277.48324367,4.49824156,184.85454207,1.95583,68.60161599,124.36212652,0.88774022,4388.68685892,686.92000456,214.989126,34.52511759,16.65384077,10869.87310926,2.44118879,122.53354669,9246.72481602,5.48560428,729.59054707,1.0,9.79567016,10.62850617,2702.51524197,24.49102109,6788.75346031,14.86244483,58.15939343,301.37093932,0.88774022,20.58385528,2.03464329,1.59744084,0.85362424,1.95583,11.23808287,308.48540278,32.96778203,4.42162909,199.76395841,138.38105388,133.34818646,0.88774022,9.4135458,57.33134857,4.5149378,27326.24452657,10.53485487,8.10768852,9.68763358,43461.07759617,249.18513527,149.20848559,9795.48442287,2923.63974956,4.15507119,14.86244483,4.21747533,0.9872664,83.68908641,2.40627284,110.27,25.54477196,434.04841149,0.45269776,2.15394233,61.50089458,10009.86550684,133.49401805,4.81066726,8.84053824,37.13704139,8.3161488,12.18358299,18.05975121,3490.50467614,7.44680893,16148.23468508,0.46293162,1.20398341,1912.79385876,2.63718796,3.01211659,33.74718101,42.65033774,76.2261566,100.08570272,4.38249963,9.35666168,18.55327978,2.40861803,620.09362489,131.03277503,136.25977626,399.58419227,,1.59744084,582.83966017,11.85278948,3899.52457213,40.37740879,28.3944114,1.20398341,76.2261566,9.69595217,31.90556047,59.94013366,1.20398341,1431.11181065,35.49548679,38.76669345,873.04278722,23.17115315,4.63266936,3.86811349,655.95699977,4.13500869,1.17388994,0.84385396,0.36293485,118.72498668,1.20398341,655.95699977,0.00091098,4874.792519,2116.73587578,0.06976346,1.62679393,3.25075515,124.91883805,119.33174224,3.88629702,0.88774022,21.31563066,14.86244483,151.21013228,2.98614602,1083.58172867,70.4956091,14.86244483,1.49222262,1635.20201868,1.20398341,3.88713785,1026.59446129,8.9752497,1.53147586,699.07052729,8.44074395,3.11809197,1.67917055,82.86969417
2018-01-06,7.80309368,22.68914246,491.96775023,1813.36002311,1277.6082847,4.49664539,184.67363717,1.95583,68.60056233,124.36058304,0.88664326,4393.46081654,686.38360595,214.64927181,34.45285209,16.85081001,10881.15572801,2.47434949,122.49978861,9237.52467565,5.49165053,728.44316639,1.0,9.83281679,10.61877125,2697.1213427,24.52219408,6789.81247645,14.81716058,57.35640945,300.30752806,0.88664326,20.54389258,2.045037,1.5960525,0.85285058,1.95583,11.22625749,309.50446249,33.13967977,4.41762168,199.58807814,138.79363156,133.11076334,0.88664326,9.40499092,57.2576679,4.51084583,27319.46310369,10.52530693,8.12281173,9.68557736,43439.36545953,248.13879446,148.24763769,9791.54267496,2916.09150254,4.15184514,14.81716058,4.21012277,0.98745804,83.81785493,2.4351645,110.27000003,25.5111594,433.04119734,0.45228748,2.1434917,61.33717021,9999.52180879,133.28046175,4.80864191,8.82099672,37.31973069,8.29735244,12.12184261,18.04338331,3495.29511609,7.4463264,16144.13252028,0.46251206,1.20289222,1888.9299978,2.70914387,3.0472498,34.04436925,42.51553401,76.2051562,99.57989686,4.37852768,9.34286373,18.58817583,2.42367599,619.63757288,126.65340801,135.96858064,396.8403046,,1.5960525,582.32013159,11.81625069,3873.1283116,40.65506776,28.30915007,1.20289222,76.2051562,9.68714065,31.87664385,59.96578199,1.20289222,1425.15724744,35.46880315,38.77611407,870.15514615,23.15462235,4.63073181,3.88466695,655.95700012,4.13237751,1.17211255,0.84288094,0.36267221,118.55915802,1.20289222,655.95700012,0.00091154,4841.93578344,2118.08409901,0.06986346,1.62963867,3.24570291,124.50536521,119.33174227,3.91541244,0.88664326,21.3031818,14.81716058,151.06549491,2.99450904,1082.44768866,70.74660956,14.81716058,1.49177387,1633.26670993,1.20289222,3.88365973,1014.23003451,8.94249567,1.5281136,707.29504268,8.43534794,3.1095966,1.67842418,82.90633984
2018-01-07,7.80385654,22.6891551,491.96774979,1813.36241702,1277.61269912,4.49666915,184.67424149,1.95583,68.585074,124.36271875,0.88664563,4393.46067767,686.3838165,214.66230892,34.45279862,16.8508138,10881.43713773,2.47435276,122.50115806,9237.53237306,5.49226813,728.44245926,1.0,9.8303609,10.61878527,2697.13617284,24.53140339,6789.8161511,14.81848125,57.35829913,300.32997771,0.88664563,20.54512992,2.0450397,1.5960819,0.85285171,1.95583,11.22429497,309.22277336,33.13972352,4.41762751,199.58834179,138.79696334,133.1128318,0.88664563,9.40500504,57.25774349,4.51085178,27319.51320448,10.52532083,8.12304414,9.68561265,43440.24654778,248.13863079,148.2949457,9791.55560128,2916.17295819,4.15160001,14.81848125,4.21012833,0.98746488,83.82018198,2.43529953,110.26999994,25.51069184,433.041656,0.45228807,2.14362031,61.33922096,9999.50377134,133.2806377,4.80863361,8.82199708,37.31977996,8.30582215,12.12204626,18.04340713,3495.19726711,7.4464894,16143.88292138,0.46251267,1.20289381,1888.97267532,2.70928595,3.04747231,34.04508113,42.51554509,76.20600815,99.82389842,4.37853347,9.34287644,18.58982604,2.42367487,619.6627751,126.65389456,135.96837587,396.84255271,,1.5960819,582.32090034,11.8162667,3873.30913513,40.65539896,28.31049979,1.20289381,76.20600815,9.68715519,31.87668594,59.95289861,1.20289381,1425.15627058,35.46924925,38.7622095,870.15560941,23.158913,4.63077921,3.88483819,655.95699972,4.13189914,1.17231372,0.84288205,0.36267252,118.5585599,1.20289381,655.95699972,0.00091166,4842.11645751,2118.08534817,0.06986559,1.62954162,3.24570719,124.50552964,119.33174224,3.91537668,0.88664563,21.30324704,14.81848125,151.0691006,2.99452369,1082.45017451,70.74657056,14.81848125,1.49188253,1633.26597742,1.20289381,3.88389365,1014.23014544,8.94250075,1.52806122,707.30136344,8.43585407,3.10960071,1.67837962,82.90644929
2018-01-08,7.7813034,22.8519717,491.96775013,1804.80844595,1277.51375824,4.48656244,184.11977099,1.95583,68.3674924,123.53319329,0.88256776,4381.73098082,681.36314866,213.73111257,34.29415153,16.15330265,10816.25213483,2.44703215,122.18504505,9192.84449597,5.43753083,724.37638006,1.0,9.81682177,10.56852938,2686.13495725,24.48013955,6756.39494905,14.83608763,58.0516297,299.61439961,0.88256776,20.46329454,2.02523689,1.59518448,0.84882865,1.95583,11.20653885,308.87438807,32.78032075,4.39678874,198.64294616,137.88820523,132.33517694,0.88256776,9.36406797,57.05752655,4.48957325,27188.47404953,10.47567091,8.07844397,9.66680289,43225.1942283,248.24323182,148.34207702,9744.02841952,2911.30814365,4.17046169,14.83608763,4.19026829,0.98172,83.4605734,2.40152885,110.27000003,25.54512859,431.48565394,0.45015454,2.14148576,61.18329623,9980.02357316,133.48784033,4.79389552,8.78787238,36.94419941,8.27754496,12.06710045,17.95829299,3480.02202587,7.44697634,16083.20827689,0.46033091,1.19721953,1902.98689479,2.63078548,2.99902707,33.79376305,42.40688262,76.00935927,99.5238974,4.3578791,9.23347226,18.4094537,2.39615739,616.61437885,130.73589902,135.38455974,395.29076668,,1.59518448,580.55763399,11.81908709,3882.32834601,40.07219882,28.23129012,1.19721953,76.00935927,9.64499001,31.72631762,60.09182613,1.19721953,1430.10818737,35.36790859,38.56378453,868.85755157,23.01296864,4.65300793,3.85304746,655.95700008,4.12577747,1.16881148,0.84054699,0.36092325,118.48831165,1.19721953,655.95700008,0.0009091,4844.13248701,2105.04391913,0.07016476,1.62705059,3.23249287,125.09932132,119.3317422,3.86826469,0.88256776,21.18889163,14.83608763,150.38551118,2.96164458,1077.49526115,70.10050896,14.83608763,1.48779736,1625.8526344,1.19721953,3.86888334,1020.4072695,8.92097866,1.52770376,696.9067588,8.42200131,3.10201576,1.66723552,82.51046315
2018-01-09,7.78506799,22.67383915,491.96775006,1797.06206373,1275.19472636,4.49471718,183.34060654,1.95583,67.9040622,123.01397583,0.8821669,4365.97613116,678.78823368,212.96423787,34.15351617,16.58581826,10752.82806328,2.43412421,122.01153152,9143.92089369,5.43014608,724.65953848,1.0,9.82740456,10.52331941,2675.45124645,24.40892086,6708.80751797,14.76394808,57.72036043,298.22998514,0.8821669,20.39525614,2.01447163,1.59235485,0.84518541,1.95583,11.1909424,309.51379213,32.59701404,4.37791737,199.23657709,137.48669738,131.95817638,0.8821669,9.32257256,56.81209141,4.47030364,27067.10397348,10.43070849,8.03735025,9.67805884,43076.50795333,247.08571331,147.55861458,9702.1366155,2901.75149668,4.18337947,14.76394808,4.17244638,0.97750302,82.87887222,2.4014341,110.27000004,25.55146761,429.75204907,0.44822245,2.1320168,61.49524055,9941.52488692,133.48590839,4.780161,8.74894216,36.74934508,8.23751647,11.99989465,17.88121456,3472.13296367,7.44705853,16016.08113141,0.45835513,1.19208097,1897.29542654,2.60616677,2.97710536,33.67724892,42.20108754,75.90141929,99.07215192,4.33917473,9.26261746,18.35799763,2.38337428,613.93548563,130.45381902,134.20148294,394.26767358,,1.59235485,578.07359738,11.73809138,3882.06270352,39.85231759,28.12747499,1.19208097,75.90141929,9.60224973,31.59014573,60.04726613,1.19208097,1423.24716385,35.31971091,38.46977312,864.36344816,23.01333555,4.64731283,3.83890685,655.95699999,4.1043902,1.17232005,0.83846494,0.35954953,118.67174579,1.19208097,655.95699999,0.00090927,4824.36908135,2095.39281337,0.07028952,1.62080654,3.21860788,125.36019358,119.33174224,3.85351634,0.8821669,21.10321584,14.76394808,149.9026391,2.96375795,1072.87241149,69.84241171,14.76394808,1.48519659,1598.15517353,1.19208097,3.87343197,1015.85914376,8.88738084,1.52438716,692.17093432,8.38848313,3.08134127,1.66070651,82.13074402
2018-01-10,7.78265975,22.33599881,491.96774972,1802.63501837,1277.72912865,4.55107121,183.89853202,1.95583,68.2107563,123.2803301,0.88499115,4380.41588334,681.22561683,213.91877576,34.27275695,16.04534875,10796.37299559,2.42837131,122.55823699,9177.5037029,5.44111285,728.22765177,1.0,9.80473085,10.55616605,2684.25862779,24.45178382,6717.31865805,14.95158454,57.9566478,299.31130761,0.88499115,20.45763026,2.02126811,1.59539169,0.84780645,1.95583,11.20207781,309.37309535,32.71070563,4.39149393,199.58174184,137.70931105,132.42328274,0.88499115,9.35332835,56.98787827,4.48416671,27153.66365504,10.46305566,8.08396531,9.65403893,43387.94190161,246.84019688,148.49532976,9730.04800224,2908.90823649,4.17606337,14.95158454,4.18522222,0.98053776,83.15485074,2.41002886,110.27,25.55958228,430.44753118,0.44961245,2.14003245,61.49295958,9889.24762369,133.24553259,4.7937109,8.77961052,36.88132177,8.26376917,11.79256584,17.93666685,3459.23601587,7.44764182,16075.09928697,0.45977656,1.19577779,1903.57940263,2.60208337,2.98627172,33.73516891,42.33248311,76.241516,99.45929222,4.35263116,9.29175225,18.44115192,2.39077132,615.8343178,129.08594804,133.33680748,394.947693,,1.59539169,579.65241192,11.79313111,3888.29538136,40.14398435,28.21295235,1.19577779,76.241516,9.6339282,31.68811143,60.48937923,1.19577779,1416.23438754,35.3830039,38.39712822,865.89181297,23.00078447,4.64001629,3.85204011,655.95699971,4.09395416,1.16954627,0.83882257,0.36053565,118.78033628,1.19577779,655.95699971,0.00090811,4824.41634613,2101.96367125,0.07044664,1.61522444,3.22860046,125.15693117,119.33174225,3.86360414,0.88499115,21.18274437,14.95158454,150.43043433,2.94006896,1076.20297206,70.03769718,14.95158454,1.49308393,1609.50293606,1.19577779,3.872596,1020.81400823,8.91524566,1.52527507,689.4488248,8.38302647,3.06782468,1.66379078,82.47045779
