date,CNY,ARS,KMF,LBP,KRW,TRY,LKR,BGN,RUB,KES,GIP,UGX,CRC,DJF,UYU,SCR,GNF,FJD,NPR,SLL,GHS,CLP,EUR,SEK,TJS,TZS,STN,PYG,ZAR,DOP,YER,FKP,MDL,AZN,SGD,JOD,BAM,MAD,HUF,ETB,AED,AOA,DZD,PKR,GBP,HKD,GMD,SAR,VND,SVC,TTD,NOK,IRR,ZWL,GYD,JMD,UZS,MNT,PLN,LSL,TMT,KYD,AFN,BYN,CVE,CZK,NGN,BHD,ANG,MKD,LAK,ALL,MYR,GTQ,NIO,BOB,ZMW,ERN,COP,DKK,IDR,OMR,BSD,CDF,TOP,WST,UAH,MRU,BTN,BDT,QAR,SBD,MVR,BZD,SYP,VUV,JPY,KZT,VES,BND,AMD,BWP,MGA,MUR,HNL,CUC,INR,MOP,CUP,PHP,USD,IQD,TWD,THB,MWK,MXN,RON,PEN,XOF,ILS,CHF,XDR,KWD,RSD,BMD,XAF,XAU,KHR,BIF,XAG,LYD,XCD,ISK,XPF,PGK,SHP,EGP,SZL,LRD,TND,KPW,MZN,NAD,CAD,MMK,PAB,BRL,RWF,SRD,AUD,SOS,SDG,GEL,NZD,KGS
2022-01-01,7.22368787,116.75018559,491.96775,1713.95052413,1351.61920081,15.13336477,230.70945251,1.95583,85.20562119,128.70197864,0.84060386,4029.71409097,732.21345103,202.37674611,50.87258169,16.80528283,10517.01979222,2.40757615,135.65045423,12748.69649372,6.88084331,968.62982468,1.0,10.29073685,12.83615982,2620.19940872,24.50087194,7846.48437949,18.13270108,65.09088917,284.46694276,0.84060386,20.18425029,1.93165147,1.53359872,0.8060968,1.95583,10.51758082,369.21793071,55.9368708,4.17544498,630.98431031,158.16675876,200.56251268,0.84060386,8.86376585,59.97545517,4.26355852,26002.16247168,9.94830321,7.72606384,10.02828884,47781.22013906,,238.74099945,173.95380782,12325.57150876,3241.50453762,4.58844273,18.13270108,3.98332191,0.93230295,117.93619192,2.89921996,110.27,24.8737196,469.22337059,0.4274928,2.03229631,61.91731488,12659.63004273,120.78908275,4.73718465,8.77766407,40.24537032,7.85058724,19.02584354,17.05423407,4627.20852911,7.4379704,16228.40600901,0.43715687,1.13694894,2273.7840092,2.56823856,2.94926108,31.12382677,41.36211739,84.74181117,96.49665686,4.13849413,9.19857779,17.80973538,2.29129369,2856.61990137,127.55822421,130.85136325,494.37018649,5.21959355,1.53359872,545.64136728,13.34854533,4508.60401096,49.9682745,27.66466969,1.13694894,84.74181117,9.12967883,28.42368619,58.00438791,1.13694894,1659.55651889,31.51281275,37.75039783,928.75360081,23.30485799,4.94927074,4.53361138,655.957,3.53587928,1.0367804,0.81058773,0.34466464,117.54063993,1.13694894,655.957,0.00062225,4624.15634112,2280.01128249,0.04883837,5.21684128,3.06976645,148.1681266,119.33174224,3.98931078,0.84060386,17.84207771,18.13270108,164.59099795,3.26927569,1023.25404428,72.42276146,18.13270108,1.43699727,2016.15024131,1.13694894,6.34196993,1146.17486866,23.5905925,1.56488622,655.42492035,496.18154459,3.52180514,1.66273695,96.41345815
2022-01-02,7.2134365,116.52476935,491.96775001,1710.82556518,1352.77071968,15.22850808,229.83290125,1.95583,85.19993988,128.00589304,0.840312,4011.07644357,727.24605683,201.75953162,50.48575312,15.49649926,10460.04656808,2.40331064,135.13676954,12830.24841317,6.98756501,966.90813268,1.0,10.27561616,12.78902536,2610.31801199,24.48647462,7787.72317555,18.1244328,64.70693736,284.05085742,0.840312,20.1395942,1.92812996,1.53316465,0.80462708,1.95583,10.50588486,369.51307609,56.03391595,4.1678321,639.46996457,157.60805693,199.98643325,0.840312,8.85058173,59.8574567,4.25578499,25812.21947344,9.93016497,7.69303387,10.02238093,47975.06782823,,236.63238313,174.24107755,12327.80721935,3245.98973726,4.58974397,18.1244328,3.97605192,0.93059951,117.73721622,2.90244488,110.27,24.87304453,465.16637482,0.42671337,2.03125896,61.67289954,12610.07165877,120.6298542,4.73472738,8.73937244,40.04068535,7.80923761,18.85531544,17.02313995,4619.8544355,7.43722064,16192.17899248,0.43635982,1.134876,2262.13045218,2.57952239,2.95381973,30.97128644,41.06836912,84.42090866,97.05891013,4.13094863,9.18182177,17.50192656,2.28253941,2851.40928061,128.27308209,130.82617429,493.71753952,5.21058787,1.53316465,544.78029104,13.30434628,4493.10607132,49.50863592,27.72234996,1.134876,84.42090866,9.11609918,27.24770562,57.87591159,1.134876,1656.25774855,31.38629455,37.7444547,923.68758969,23.30527916,4.95420125,4.52947174,655.95700002,3.52827972,1.03761883,0.81035821,0.34338414,117.44519168,1.134876,655.95700002,0.00062195,4606.11135927,2258.28635575,0.04892696,5.19870345,3.06685362,147.59975942,119.33174225,3.98201524,0.840312,17.8624001,18.1244328,164.44664138,3.25834884,1021.37107077,72.42127165,18.1244328,1.43794979,2013.71594753,1.134876,6.33786246,1170.7813544,23.52825026,1.56458644,653.15256886,496.3826198,3.50085864,1.66075581,96.23847828
2022-01-03,7.18821895,116.34478448,491.96774999,1703.47589762,1350.17871817,14.81360007,228.33579033,1.95583,84.16281587,128.35074215,0.83908906,4020.6029737,726.88433583,200.91435206,50.72543056,16.64041761,10512.69693857,2.40363462,134.72469979,12790.17341205,6.93789757,962.18563846,1.0,10.28477618,12.79444583,2598.07001198,24.49517721,7778.12488822,17.89219268,64.79368701,282.76585241,0.83908906,20.1118163,1.91992967,1.53087962,0.80117042,1.95583,10.4803889,366.7223706,56.19215721,4.14992719,630.79043732,157.32996929,199.48236827,0.83908906,8.81007986,59.67588131,4.23750223,25797.15864654,9.88750521,7.68984399,10.01508689,47542.28219478,,236.577816,174.15286251,12221.77438269,3235.65280961,4.57630833,17.89219268,3.94826702,0.9266074,117.36340184,2.87922979,110.27,24.82738198,466.511577,0.42488022,2.02251901,61.55480792,12705.351159,120.45708085,4.72480953,8.73437019,40.1603626,7.80972147,18.91637104,16.95000893,4598.72018725,7.43765943,16165.1051769,0.43448523,1.1300006,2264.18671946,2.55513289,2.94936892,30.84282114,41.01164897,84.16348573,97.01397424,4.11320217,9.17455306,17.4314655,2.28131891,2838.54197119,128.27453186,130.78783526,491.52105949,5.17814265,1.53087962,544.14525921,13.27610732,4506.54670933,49.30111589,27.79354085,1.1300006,84.16348573,9.07438226,27.2578778,57.95566434,1.1300006,1649.05109285,31.18551616,37.64559511,920.42851082,23.1706326,4.94775008,4.50469036,655.95699999,3.51423022,1.0377629,0.8083842,0.34222199,117.01393558,1.1300006,655.95699999,0.00062667,4609.11028241,2264.5368879,0.04961869,5.21181808,3.05370996,147.60103523,119.33174224,3.9649068,0.83908906,17.79698355,17.89219268,163.99947372,3.25834576,1017.00413223,72.12526517,17.89219268,1.4392005,2011.49118828,1.1300006,6.42070001,1172.93511827,23.98221836,1.56660699,656.12116427,494.25270205,3.48885525,1.66298836,95.82410276
2022-01-04,7.18468912,116.41480407,491.96775,1702.22546078,1354.2962736,15.18678442,228.54899667,1.95583,85.26564221,127.68929167,0.83466087,3998.76545623,725.06713451,200.79561227,50.43490465,15.77674056,10436.24151126,2.39619768,134.77425983,12762.17377021,6.94075972,956.94534183,1.0,10.26998429,12.75006299,2596.60593653,24.52960108,7774.31611999,18.10773628,64.58208379,282.60709284,0.83466087,20.10251654,1.91843668,1.53106919,0.80058232,1.95583,10.47182659,362.81777041,55.88947242,4.14688093,632.97728803,157.27280639,199.5252244,0.83466087,8.7997319,59.60962402,4.23439169,25732.66336396,9.88024728,7.67047628,10.01025685,47455.1371208,,235.97002979,173.80591867,12203.79927649,3226.64308732,4.56426791,18.10773628,3.95691665,0.92591973,118.39936067,2.91269754,110.27,24.66865204,466.84473855,0.42456834,2.020535,61.59898068,12638.87129051,119.76898271,4.73198026,8.70594797,39.94663136,7.78291304,18.89401742,16.93756677,4607.99589679,7.43857873,16205.74218994,0.43416629,1.12917112,2262.13919254,2.55971409,2.93280283,31.00245393,40.97440895,84.19444625,96.53241408,4.11018287,9.13294327,17.41875629,2.27414033,2837.05923195,127.74933656,130.9570715,492.55113089,5.19015102,1.53106919,544.25446711,13.25972052,4497.73119602,48.73089851,27.62535453,1.12917112,84.19444625,9.06372386,27.2928122,57.75230252,1.12917112,1647.28060441,31.21384742,37.47694003,917.97449692,23.20189773,4.94792334,4.46766361,655.957,3.48638677,1.03469483,0.80799076,0.34195541,117.55387071,1.12917112,655.957,0.00062214,4591.93549569,2253.47007728,0.04915646,5.18025208,3.05133249,147.60625261,119.33174224,3.96199443,0.83466087,17.76023102,18.10773628,164.69356454,3.25557869,1016.23471757,72.05000378,18.10773628,1.43550356,2005.11044621,1.12917112,6.41237611,1162.42548049,24.0540739,1.56076708,659.36611321,493.78347353,3.49405473,1.65951356,95.75505781
2022-01-05,7.21228254,116.65680111,491.96775,1705.69448337,1357.26140468,15.497035,229.53225246,1.95583,87.43657824,128.13207885,0.83593418,4005.78035692,726.52003321,201.18038895,50.53001443,16.77561877,10425.24835818,2.40419077,134.87514853,12786.88516107,6.96656032,949.54848806,1.0,10.32778787,12.78849902,2602.39312884,24.51507103,7811.99028749,18.02875972,64.8039262,283.09994528,0.83593418,20.17116055,1.92251681,1.53742894,0.80221386,1.95583,10.48573926,362.75494421,56.08672553,4.155332,629.22743953,157.47017564,199.99705804,0.83593418,8.82315891,59.7459458,4.2430211,25750.88904156,9.90038257,7.68847275,10.03557354,47627.9410197,,236.52525893,174.23332439,12226.69671309,3240.98161236,4.57606215,18.02875972,3.95399145,0.92780805,118.69277742,2.92159169,110.27,24.63955537,467.19423472,0.42543358,2.02489707,61.62959072,12718.5432526,120.97070548,4.75526517,8.73106312,40.06811038,7.80632136,18.98764032,16.97208441,4554.21493065,7.43910676,16284.88378872,0.4350511,1.13147229,2255.91156088,2.57357279,2.94507974,31.06437155,41.10287098,84.25747214,96.84297729,4.11855915,9.15238302,17.47001308,2.28011295,2842.28681122,128.14300972,131.0716125,492.83731493,5.20066869,1.53742894,545.75593088,13.32953624,4496.8992549,48.90684988,27.74794122,1.13147229,84.25747214,9.08785368,27.20825135,57.89286403,1.13147229,1651.45194891,31.27951295,37.77231652,921.19226601,23.34600958,4.94594301,4.48235488,655.957,3.51221845,1.03805268,0.80894546,0.34254782,117.62345924,1.13147229,655.957,0.00062581,4606.22946397,2260.53532955,0.04995505,5.20690676,3.05737102,146.7594351,119.33174224,3.96993043,0.83593418,17.78059084,18.02875972,165.14189093,3.2531966,1018.35353532,72.15975913,18.02875972,1.44666951,2010.81680627,1.13147229,6.45932477,1168.78219814,24.16589275,1.5756799,655.2802,494.79190633,3.49738463,1.6730625,95.94879365
2022-01-06,7.20523402,116.65271618,491.96775001,1703.50486463,1358.3852079,15.66939296,228.26857449,1.95583,86.12557463,127.99246678,0.83417635,4006.1289717,725.8113084,200.88536839,50.61704379,16.89182901,10409.63755514,2.41127844,134.54773035,12789.61286785,6.98262662,946.46710375,1.0,10.33569446,12.77131684,2598.08095433,24.50192284,7779.61101315,17.77253351,64.72326481,282.50854145,0.83417635,20.19872408,1.91988019,1.53615128,0.80118405,1.95583,10.48289998,360.21019122,56.11981788,4.14999775,628.25971238,157.55287824,200.1165421,0.83417635,8.81510697,59.67954391,4.23757429,25595.29383826,9.88767334,7.68241142,10.03939961,47581.34192645,,236.19865101,174.31205222,12213.37032297,3230.16514629,4.55574977,17.77253351,3.9477683,0.92661401,118.56582259,2.92386032,110.27,24.51541009,465.59562132,0.42488745,2.02264635,61.61335685,12698.85807484,121.3536451,4.74887987,8.72401998,40.05082656,7.79331036,18.97838394,16.95029716,4556.78023818,7.43912549,16213.15105378,0.43449262,1.13001981,2252.24719386,2.5713851,2.95116465,31.07281615,41.07197561,84.05293166,97.05499834,4.11327211,9.14251524,17.36302219,2.27806262,2839.08634503,128.66630176,130.94723866,492.57835932,5.20379549,1.53615128,545.04544777,13.25431472,4495.3892324,48.78880375,27.76246521,1.13001981,84.05293166,9.07956018,27.17168912,57.86436501,1.13001981,1648.85151584,31.28318611,37.93644822,921.3565758,23.13551783,4.94355715,4.48493092,655.95700002,3.51963739,1.0411104,0.80835912,0.34204043,117.60323208,1.13001981,655.95700002,0.00063054,4610.2818464,2256.42886782,0.05102067,5.20312639,3.05384664,146.40718249,119.33174225,3.96496743,0.83417635,17.75684793,17.77253351,165.3125261,3.26140334,1016.93248193,72.13876376,17.77253351,1.43652843,2009.48084535,1.13001981,6.42330998,1172.50178033,24.05156377,1.57768967,652.25057228,494.33712676,3.49161637,1.67340062,95.82470364
2022-01-07,7.24596131,117.35558238,491.96774999,1712.74586699,1360.85871867,15.76961979,230.51308565,1.95583,86.03344981,128.60466718,0.83595745,4026.76298667,729.33697283,202.22320163,50.83052673,16.98121561,10468.5610791,2.43328813,135.00280423,12891.32687575,7.01533859,941.07607019,1.0,10.31822534,12.83548608,2621.95171971,24.87316944,7824.03152588,17.70765352,65.43138285,284.24951318,0.83595745,20.32219768,1.93133075,1.54260678,0.80553023,1.95583,10.5272316,358.67633442,56.10213195,4.17251025,626.68099794,158.49712547,201.12624132,0.83595745,8.85935584,59.97939563,4.26056186,25777.69080039,9.941311,7.71483264,10.04223513,48023.97508519,,237.29866,175.29103461,12281.20979198,3240.35650042,4.54561962,17.70765352,3.96913472,0.93164586,119.29010655,2.93229695,110.27,24.44134475,469.46776733,0.42719234,2.03124697,61.92854355,12778.93885778,121.66538172,4.78312943,8.7668248,40.21618228,7.8255398,19.1679749,17.04224743,4602.99203233,7.43877075,16262.87101592,0.43684961,1.13614983,2270.95209847,2.57778567,2.91984492,31.17717649,41.35067165,84.33721957,97.55502105,4.13558538,9.18846604,17.48993076,2.28930584,2853.91715458,128.37511514,131.36730597,494.77001508,5.24042117,1.54260678,547.99496272,13.26475725,4500.86151206,49.61565972,27.81781617,1.13614983,84.33721957,9.12513652,27.27142611,58.32168802,1.13614983,1658.39789924,31.41848383,38.19060674,927.32803764,23.16773257,4.95127842,4.49996488,655.95699999,3.53259121,1.04361704,0.81241713,0.34379492,117.58888025,1.13614983,655.95699999,0.00063245,4627.95393731,2279.29429128,0.05076628,5.22600154,3.07046749,146.18753086,119.33174224,4.00217646,0.83595745,17.8559066,17.70765352,166.84613645,3.27205239,1022.53215535,72.354477,17.70765352,1.43609305,2020.06787246,1.13614983,6.40305437,1154.00055534,24.15666424,1.58249142,655.99901127,497.04726312,3.51630018,1.67586025,96.34532525
2022-01-08,7.2463568,117.35733755,491.96775,1712.88371436,1360.96157728,15.75799272,229.69256361,1.95583,86.0838136,128.6212815,0.83605361,4024.49260547,732.68388626,202.25083486,50.88182433,16.7312126,10400.56723284,2.42450383,135.04739792,12899.90878797,6.87694271,941.2315328,1.0,10.30254641,12.79725028,2620.56402953,24.54333622,7937.50845237,17.69967565,65.45883157,284.34333986,0.83605361,20.32225082,1.93153084,1.53995065,0.80559506,1.95583,10.51952643,358.75217142,56.0281708,4.17284606,625.99277644,158.83972659,200.99936702,0.83605361,8.86061059,59.99400132,4.26090476,25781.42572328,9.94211111,7.73532973,10.04203342,47751.22242111,,238.59203364,174.64860678,12282.76806694,3239.44852234,4.55114597,17.69967565,3.97671121,0.93172322,119.31742488,2.93149896,110.27,24.43747005,470.32759342,0.42722672,2.03103123,61.68768464,12784.14642534,121.57685286,4.78258371,8.76539722,40.59747658,7.83429338,19.23581325,17.04361905,4602.97140701,7.43980365,16306.6759689,0.43688477,1.13624127,2272.36868709,2.57767763,2.9194484,31.33164016,41.33619666,84.36507757,96.41505784,4.13591822,9.1891414,17.79925204,2.28969636,2854.40362704,128.37376287,131.30070425,494.63648231,5.26129353,1.53995065,548.180256,13.32736989,4492.4165859,50.0514962,27.69641866,1.13624127,84.36507757,9.12642891,28.40602323,58.33361763,1.13624127,1658.5150368,31.38606357,38.20992819,930.63551326,23.16662625,4.94210183,4.45583529,655.957,3.53701216,1.04353773,0.81265653,0.34473333,117.60003431,1.13624127,655.957,0.00063251,4621.59659748,2280.12610256,0.05078713,5.21656143,3.06785269,146.17765736,119.33174224,4.01090852,0.83605361,17.84206349,17.69967565,167.11277478,3.27352091,1022.61715921,72.35473372,17.69967565,1.43678804,2014.86766303,1.13624127,6.40369009,1146.39303993,24.43547084,1.58218114,663.64343117,495.86930327,3.51658318,1.6757784,96.35307944
2022-01-09,7.22681453,116.98477128,491.96775002,1709.01396276,1361.2050327,15.66803063,229.004897,1.95583,85.58056148,127.91205572,0.83434229,4000.86999427,724.77768631,201.53071857,50.51533256,16.94449684,10306.78558114,2.41935919,134.58728157,12861.20152328,6.9819521,939.02320154,1.0,10.28273699,12.75085203,2607.18831745,24.81421778,7845.66011042,17.67085056,65.14419371,283.63740475,0.83434229,20.18907578,1.9260981,1.53678549,0.80377506,1.95583,10.50882192,358.82254855,56.01270639,4.16341876,629.12727262,158.03291539,200.37766195,0.83434229,8.83941226,59.84874563,4.25127851,25641.43633273,9.91964987,7.660992,10.02642757,47821.22880121,,235.7862154,174.34959276,12230.55020379,3243.49992692,4.54584947,17.67085056,3.96052534,0.92961136,118.92497442,2.93450048,110.27000001,24.43200099,464.62873324,0.42626153,2.02927284,61.53818732,12664.19407611,121.22070544,4.76291111,8.71112753,40.1241785,7.76784166,19.03124824,17.00511406,4594.24757089,7.43916566,16233.55729927,0.43589776,1.13367427,2255.72804784,2.58881137,2.96599431,31.17107743,41.2494113,84.07763959,96.85821095,4.12657434,9.17953129,17.43596117,2.27477075,2847.82535848,129.02283279,131.28471444,491.71262331,5.22904374,1.53678549,546.92298372,13.29730115,4490.59028548,49.51527451,27.7134817,1.13367427,84.07763959,9.10459463,27.29402034,58.3070858,1.13367427,1655.64669563,31.41154231,38.18859978,925.40035411,23.1040958,4.94302496,4.45867877,655.95700003,3.52832849,1.04340468,0.80984007,0.34308228,117.331247,1.13367427,655.95700003,0.00063198,4597.34570274,2274.1799274,0.05092664,5.1929893,3.06352195,146.20983568,119.33174225,3.97778597,0.83434229,17.76496972,17.67085056,166.48781914,3.2492359,1020.27108863,72.37728218,17.67085056,1.4331556,2006.76808322,1.13367427,6.38998829,1151.2978168,24.111301,1.57557681,651.52970782,495.99428618,3.50863777,1.67343764,96.13641343
2022-01-10,7.22417679,117.31041849,491.96775002,1709.49544028,1354.11455071,15.66310764,229.91669956,1.95583,84.85309854,128.38935322,0.83434747,3999.78371084,727.48208482,201.63332066,50.66440752,16.25434398,10349.6125041,2.41596224,134.26936222,12833.96552141,6.98910435,947.57476464,1.0,10.31104934,12.7903707,2607.92847999,24.52304897,7873.4172631,17.78102645,65.19979584,284.13146591,0.83434747,20.3111114,1.92665575,1.53607654,0.8040015,1.95583,10.51054195,358.46987377,56.21781793,4.16459171,628.22092046,158.39284898,200.28742317,0.83434747,8.84205863,59.93434033,4.25247622,25701.06076012,9.92244451,7.68935644,10.02965931,47836.42206571,,236.75543671,174.82421199,12327.61650609,3245.45118656,4.54525017,17.78102645,3.96178611,0.9298788,119.15495719,2.92649069,110.27,24.36146305,468.80139854,0.42638162,2.02940521,61.68079739,12741.55691266,122.32930083,4.7560904,8.73698284,40.27158167,7.80195808,19.17847078,17.00990488,4594.59573293,7.43979077,16216.44786266,0.43602056,1.13399366,2260.25620647,2.58404518,2.9614439,31.2281603,41.14920453,83.87903309,97.14791946,4.12773692,9.18178554,17.44934599,2.28227707,2849.23892707,128.86298461,130.75765993,493.37392998,5.25115747,1.53607654,546.0232852,13.18541519,4503.82290918,49.41936046,27.80079168,1.13399366,83.87903309,9.10732039,27.36386177,58.05517972,1.13399366,1654.58058921,31.39121129,37.98305341,921.39030403,23.12069126,4.94517178,4.45951497,655.95700003,3.55421627,1.05060786,0.80961876,0.34323871,117.59611927,1.13399366,655.95700003,0.00062838,4612.7543732,2269.43686202,0.05035248,5.19902973,3.06440118,146.40987922,119.33174225,3.97885938,0.83434747,17.83769823,17.78102645,167.61472821,3.26716856,1020.61313346,72.3724924,17.78102645,1.43479083,2012.75455942,1.13399366,6.42624909,1170.34683702,24.17364091,1.57791021,650.66634769,495.98039078,3.50116227,1.67554499,96.16279252
